City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,27.63,30,0,3.04,ZA,1744984186
1,mitu,1.1983,-70.1733,26.15,92,89,0.55,CO,1744983939
2,quelimane,-17.8786,36.8883,26.97,83,75,2.06,MZ,1744984186
3,edinburgh of the seven seas,-37.0676,-12.3116,15.02,65,99,5.45,SH,1744984186
4,waitangi,-43.9535,-176.5597,14.34,95,100,2.24,NZ,1744984187
5,kingston,17.997,-76.7936,28.42,65,20,1.54,JM,1744983691
6,grytviken,-54.2811,-36.5092,3.31,68,26,0.79,GS,1744984187
7,saint-philippe,-21.3585,55.7679,26.29,83,49,3.36,RE,1744984187
8,uturoa,-16.7333,-151.4333,25.49,86,100,7.37,PF,1744984187
9,bethel,41.3712,-73.414,13.97,35,89,1.34,US,1744984188
10,avarua,-21.2078,-159.775,25.03,65,75,5.66,CK,1744984029
11,bikenibeu village,1.3673,173.1241,26.98,94,40,2.57,KI,1744984188
12,hongwon,40.0253,127.9558,10.87,73,100,1.48,KP,1744984188
13,hithadhoo,-0.6,73.0833,29.11,74,25,5.67,MV,1744984188
14,priargunsk,50.3691,119.1012,2.41,82,100,2.46,RU,1744984188
15,newman,37.3138,-121.0208,10.59,88,6,1.86,US,1744984105
16,quthing,-30.4,27.7003,18.05,47,87,3.13,LS,1744984188
17,tsiombe,-25.3,45.4833,24.87,63,100,3.1,MG,1744984189
18,tiksi,71.6872,128.8694,-5.4,97,100,1.03,RU,1744983995
19,nema,57.5067,50.5011,18.35,47,25,3.38,RU,1744984189
20,blackmans bay,-43.0167,147.3167,17.07,91,100,1.24,AU,1744984189
21,longyearbyen,78.2186,15.6401,-5.09,74,75,0.51,SJ,1744984189
22,port douglas,-16.4833,145.4667,24.54,85,90,2.78,AU,1744984189
23,ilulissat,69.2167,-51.1,-0.99,64,20,2.57,GL,1744984189
24,aripuana,-9.1667,-60.6333,31.82,58,26,0.82,BR,1744984189
25,stanley,54.868,-1.6985,12.5,66,20,4.63,GB,1744984189
26,ushuaia,-54.8,-68.3,5.81,87,20,3.6,AR,1744984112
27,queenstown,-31.8976,26.8753,22.86,26,59,2.42,ZA,1744983931
28,port-aux-francais,-49.35,70.2167,3.28,63,95,14.25,TF,1744984190
29,yellowknife,62.456,-114.3525,-1.99,90,75,9.77,CA,1744984190
30,puerto natales,-51.7236,-72.4875,10.25,57,40,8.75,CL,1744983901
31,indramayu,-6.3264,108.32,30.46,84,100,3.7,ID,1744984190
32,lebu,-37.6167,-73.65,12.19,68,100,7.63,CL,1744984190
33,adamstown,-25.066,-130.1015,24.45,84,100,6.44,PN,1744984191
